Experiment_Case,Threshold_deg,Test_Points,Model_Name,Calibration_Points,Calibration_Score_deg,Val_Round_1_deg,Val_Round_2_deg,Val_Round_3_deg,Val_Round_4_deg,Val_Round_5_deg,Mean_Accuracy_deg,Peak_Accuracy_deg,Std_Dev_deg,Mean_Precision_deg
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,2D C++,0p,N/A (Bypass),0.753,1.464,1.365,1.107,1.387,1.215,0.753,0.26,0.114
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,2D C++,5p,0.992°,0.895,1.181,1.215,1.377,1.489,1.231,0.895,0.202,0.117
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,2D C++,9p,1.367°,1.252,1.629,1.432,1.292,1.29,1.379,1.252,0.139,0.117
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,2D C++,12p,1.387°,1.463,1.471,1.478,1.339,1.479,1.446,1.339,0.054,0.115
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,Mamba3 (T=7),0p,N/A (Bypass),Fail,Fail,Fail,Fail,0.816,0.816,0.816,0.0,0.154
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,Mamba3 (T=7),5p,0.816°,0.809,0.782,0.954,0.856,0.891,0.858,0.782,0.061,0.158
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,Mamba3 (T=7),9p,0.891°,0.856,0.897,1.16,0.825,0.936,0.935,0.825,0.119,0.173
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,Mamba3 (T=7),12p,0.936°,Fail,Fail,Fail,Fail,Fail,-,-,-,0.188
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,RITnet,0p,N/A (Bypass),1.163,0.935,1.143,Fail,0.793,1.008,0.793,0.153,0.108
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,RITnet,5p,0.936°,0.77,0.966,0.865,0.914,0.852,0.873,0.77,0.065,0.103
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,RITnet,9p,0.793°,0.769,0.673,0.69,0.783,0.752,0.733,0.673,0.044,0.103
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,RITnet,12p,0.852°,0.941,0.705,0.949,0.799,0.73,0.825,0.705,0.103,0.101
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,2D C++,0p,N/A (Bypass),Fail,0.82,0.711,0.795,0.855,0.795,0.711,0.053,0.106
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,2D C++,5p,0.752°,0.83,0.793,0.753,0.722,0.789,0.777,0.722,0.037,0.106
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,2D C++,9p,0.830°,0.858,0.72,0.708,0.732,0.857,0.775,0.708,0.068,0.101
Case 4 (Threshold 1.2° / Test 4p),1.2,4p,2D C++,12p,0.858°,0.897,1.02,0.843,0.931,0.748,0.888,0.748,0.091,0.106
